Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis,Pneumonia,Delayed_onset_muscle_soreness,Back_pain,Xerostomia,Dry_eye_syndrome,Insomnia,Sleep_deprivation,Cyanosis,Somnolence,Heartburn,Tremor,Chronic_pain
,,,,,,,,,,,,,,,,,,,,"Capsicum, in the form of either a gel or a plaster cast",,,,,"clindamycin, a combination of a beta-lactam antibiotic and metronidazole, or an aminoglycoside",,,,,melatonin,,,,,,Myofascial release
,,,,,,,,,,,,,,,,,,,,Behavioral therapy,,,,,Corticosteroids,,,,,Prolonged-release melatonin,,,,,,
,,,,,,,,,,,,,,,,,,,,neuroreflexotherapy (NRT),,,,,chest radiograph,,,,,melatonin,,,,,,
,,,,,,,,,,,,,,,,,,,,"Multidisciplinary biopsychosocial rehabilitation (MBR), targeting physical and psychological aspects",,,,,,,,,,antidepressants,,,,,,
,,,,,,,,,,,,,,,,,,,,KT Tape,,,,,,,,,,some antidepressants,,,,,,
,,,,,,,,,,,,,,,,,,,,education,,,,,,,,,,Mirtazapine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agomelatine, a melatonergic antidepressant with sleep-improving qualities",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the benzodiazepines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some benzodiazepines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,certain benzodiazepines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nonbenzodiazepine sedative-hypnotic drugs, such as zolpidem, zaleplon, zopiclone, and eszopiclone",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suvorexant,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herbs such as valerian, chamomile, lavender, or cannabis",,,,,,
