Fever,Cough,Shortness_of_breath,Fatigue,Myalgia,Headache,Anosmia,Sore_throat,Nasal_congestion,Rhinorrhea,Nausea,Vomiting,Diarrhea,Abdominal_pain,Blood_in_stool,Chest_pain,Constipation,Dysphagia,Palpitations,Knee_pain,Low_back_pain,Neck_pain,Paresthesia,Rash,Hemoptysis,Pneumonia,Delayed_onset_muscle_soreness,Back_pain,Xerostomia,Dry_eye_syndrome,Insomnia,Sleep_deprivation,Cyanosis,Somnolence,Heartburn,Tremor,Chronic_pain
,,,,,,,,,,,,,,,,,,,,Behavioral therapy,,,,,Corticosteroids,,,,,Prolonged-release melatonin,,,,,,
,,,,,,,,,,,,,,,,,,,,neuroreflexotherapy,,,,,a follow-up chest radiograph,,,,,the use of melatonin,,,,,,
,,,,,,,,,,,,,,,,,,,,"Multidisciplinary biopsychosocial rehabilitation (MBR), targeting physical and psychological aspects",,,,,,,,,,antidepressants,,,,,,
,,,,,,,,,,,,,,,,,,,,KT Tape,,,,,,,,,,"some antidepressants such as amitriptyline, doxepin, mirtazapine, and trazodone",,,,,,
,,,,,,,,,,,,,,,,,,,,education,,,,,,,,,,Mirtazapine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agomelatine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the benzodiazepines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some benzodiazepines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,certain benzodiazepines,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nonbenzodiazepine sedative-hypnotic drugs, such as zolpidem, zaleplon, zopiclone, and eszopiclone",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suvorexant,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Herbs such as valerian, chamomile, lavender, or cannabis",,,,,,
